timestamp,operation,status_code,latency_ms
2026-08-13T17:47:30.651916633Z,write,201,41.648
2026-08-13T17:47:30.652378351Z,write,201,41.314
2026-08-13T17:47:30.658007355Z,write,201,35.836
2026-08-13T17:47:30.655727543Z,write,201,38.238
2026-08-13T17:47:30.655406651Z,write,201,38.629
2026-08-13T17:47:30.657013299Z,write,201,38.263
2026-08-13T17:47:30.657515126Z,write,201,78.077
2026-08-13T17:47:30.657888521Z,write,201,85.825
2026-08-13T17:47:30.653675415Z,write,201,90.277
2026-08-13T17:47:30.653520891Z,write,201,90.509
2026-08-13T17:47:30.655239865Z,write,201,88.876
2026-08-13T17:47:30.658134558Z,write,201,86.076
2026-08-13T17:47:30.652557334Z,write,201,91.714
2026-08-13T17:47:30.657636129Z,write,201,86.705
2026-08-13T17:47:30.653378647Z,write,201,91.034
2026-08-13T17:47:30.655057532Z,write,201,89.435
2026-08-13T17:47:30.653221694Z,write,201,91.343
2026-08-13T17:47:30.655560999Z,write,201,89.065
2026-08-13T17:47:30.657766708Z,write,201,86.948
2026-08-13T17:47:30.694052569Z,write,201,50.733
2026-08-13T17:47:30.656820874Z,write,201,88.031
2026-08-13T17:47:30.693909161Z,read,200,53.753
2026-08-13T17:47:30.693974444Z,read,200,53.809
2026-08-13T17:47:30.735635465Z,read,200,12.307
2026-08-13T17:47:30.693928057Z,write,201,54.883
2026-08-13T17:47:30.744219606Z,read,200,9.392
2026-08-13T17:47:30.7476878Z,write,201,12.038
2026-08-13T17:47:30.743753367Z,write,201,16.961
2026-08-13T17:47:30.747793299Z,read,200,17.122
2026-08-13T17:47:30.744638618Z,write,201,24.071
2026-08-13T17:47:30.744726092Z,write,201,24.004
2026-08-13T17:47:30.744131619Z,write,201,37.222
2026-08-13T17:47:30.744353486Z,write,201,37.214
2026-08-13T17:47:30.753655942Z,write,201,28.271
2026-08-13T17:47:30.76074343Z,write,201,21.673
2026-08-13T17:47:30.74450115Z,read,200,40.045
2026-08-13T17:47:30.743965625Z,read,200,40.979
2026-08-13T17:47:30.744793349Z,read,200,48.557
2026-08-13T17:47:30.768752991Z,write,201,25.991
2026-08-13T17:47:30.759776553Z,write,201,35.157
2026-08-13T17:47:30.74428441Z,write,201,50.818
2026-08-13T17:47:30.764988874Z,read,200,32.458
2026-08-13T17:47:30.782440995Z,write,201,16.837
2026-08-13T17:47:30.794955243Z,write,201,8.577
