timestamp,operation,status_code,latency_ms
2026-08-17T16:18:14.727803175Z,write,201,70.505
2026-08-17T16:18:14.729766244Z,write,201,69.773
2026-08-17T16:18:14.727517929Z,write,201,71.878
2026-08-17T16:18:14.728672599Z,write,201,96.127
2026-08-17T16:18:14.729271992Z,write,201,95.710
2026-08-17T16:18:14.72893938Z,write,201,96.114
2026-08-17T16:18:14.729092143Z,write,201,96.022
2026-08-17T16:18:14.729634397Z,write,201,95.543
2026-08-17T16:18:14.731322286Z,write,201,93.914
2026-08-17T16:18:14.727630124Z,write,201,97.672
2026-08-17T16:18:14.729474597Z,write,201,96.844
2026-08-17T16:18:14.730539767Z,write,201,100.203
2026-08-17T16:18:14.731145056Z,write,201,106.235
2026-08-17T16:18:14.731506282Z,write,201,106.030
2026-08-17T16:18:14.731625028Z,write,201,105.989
2026-08-17T16:18:14.727237023Z,write,201,110.439
2026-08-17T16:18:14.727243964Z,write,201,110.510
2026-08-17T16:18:14.727366716Z,write,201,110.451
2026-08-17T16:18:14.73098431Z,write,201,106.917
2026-08-17T16:18:14.730775502Z,write,201,107.213
2026-08-17T16:18:14.798370856Z,write,201,48.983
2026-08-17T16:18:14.826348384Z,write,201,35.079
2026-08-17T16:18:14.799573287Z,read,200,61.990
2026-08-17T16:18:14.824997345Z,read,200,36.638
2026-08-17T16:18:14.799924918Z,read,200,61.784
2026-08-17T16:18:14.82532145Z,write,201,50.768
2026-08-17T16:18:14.837421223Z,write,201,38.802
2026-08-17T16:18:14.837917836Z,write,201,38.393
2026-08-17T16:18:14.825185191Z,read,200,54.161
2026-08-17T16:18:14.837999008Z,read,200,42.031
2026-08-17T16:18:14.82512225Z,read,200,61.411
2026-08-17T16:18:14.837685777Z,read,200,48.980
2026-08-17T16:18:14.830771005Z,read,200,56.107
2026-08-17T16:18:14.825245006Z,read,200,63.954
2026-08-17T16:18:14.825063271Z,read,200,64.579
2026-08-17T16:18:14.861728578Z,write,201,28.287
2026-08-17T16:18:14.861645068Z,read,200,29.566
2026-08-17T16:18:14.861575309Z,read,200,29.736
2026-08-17T16:18:14.86146002Z,read,200,37.034
2026-08-17T16:18:14.847412104Z,read,200,51.234
2026-08-17T16:18:14.824829027Z,read,200,74.068
2026-08-17T16:18:14.837763749Z,read,200,70.788
2026-08-17T16:18:14.83782603Z,read,200,72.621
2026-08-17T16:18:14.837548461Z,read,200,73.061
2026-08-17T16:18:14.837623714Z,read,200,76.343
2026-08-17T16:18:14.87938223Z,write,201,43.942
2026-08-17T16:18:14.876328036Z,write,201,49.701
2026-08-17T16:18:14.876244275Z,write,201,49.971
2026-08-17T16:18:14.889221495Z,read,200,40.363
2026-08-17T16:18:14.886932904Z,write,201,49.283
2026-08-17T16:18:14.886571264Z,write,201,49.786
2026-08-17T16:18:14.891226313Z,read,200,48.591
