timestamp,operation,status_code,latency_ms
2026-08-15T09:47:24.502795586Z,write,201,65.239
2026-08-15T09:47:24.503526848Z,write,201,64.679
2026-08-15T09:47:24.502122047Z,write,201,66.165
2026-08-15T09:47:24.502585869Z,write,201,65.805
2026-08-15T09:47:24.502383048Z,write,201,66.082
2026-08-15T09:47:24.502283938Z,write,201,66.250
2026-08-15T09:47:24.502932221Z,write,201,68.266
2026-08-15T09:47:24.502998903Z,write,201,68.439
2026-08-15T09:47:24.502210669Z,write,201,69.724
2026-08-15T09:47:24.502516421Z,write,201,69.677
2026-08-15T09:47:24.502457654Z,write,201,69.560
2026-08-15T09:47:24.502059863Z,write,201,84.556
2026-08-15T09:47:24.502891447Z,write,201,83.735
2026-08-15T09:47:24.503736554Z,write,201,85.530
2026-08-15T09:47:24.503350324Z,write,201,104.030
2026-08-15T09:47:24.568321936Z,write,201,39.182
2026-08-15T09:47:24.501981116Z,write,201,109.671
2026-08-15T09:47:24.568403781Z,write,201,43.942
2026-08-15T09:47:24.501786526Z,write,201,110.778
2026-08-15T09:47:24.589317868Z,write,201,23.367
2026-08-15T09:47:24.501776607Z,write,201,110.994
2026-08-15T09:47:24.56821943Z,read,200,45.056
2026-08-15T09:47:24.571947141Z,read,404,49.237
2026-08-15T09:47:24.572411409Z,read,200,48.871
2026-08-15T09:47:24.502648884Z,write,201,118.747
2026-08-15T09:47:24.568478301Z,write,201,52.978
2026-08-15T09:47:24.568541116Z,read,404,52.990
2026-08-15T09:47:24.57125494Z,write,201,50.559
2026-08-15T09:47:24.502726049Z,write,201,119.203
2026-08-15T09:47:24.607516988Z,read,404,15.173
2026-08-15T09:47:24.61278032Z,read,404,11.471
2026-08-15T09:47:24.586717838Z,read,200,37.765
2026-08-15T09:47:24.612695121Z,read,200,11.880
2026-08-15T09:47:24.612589318Z,write,201,12.157
2026-08-15T09:47:24.57220613Z,read,404,52.664
2026-08-15T09:47:24.568077589Z,read,404,56.873
2026-08-15T09:47:24.607406732Z,read,404,17.601
2026-08-15T09:47:24.612362479Z,read,404,12.695
2026-08-15T09:47:24.586758448Z,read,200,47.188
2026-08-15T09:47:24.571912102Z,read,200,62.845
2026-08-15T09:47:24.621539005Z,read,404,21.949
2026-08-15T09:47:24.625064464Z,read,404,20.804
2026-08-15T09:47:24.621474782Z,write,201,25.063
2026-08-15T09:47:24.634778702Z,write,201,11.900
2026-08-15T09:47:24.622708489Z,write,201,24.141
2026-08-15T09:47:24.624275937Z,read,404,23.411
2026-08-15T09:47:24.624608568Z,read,200,23.531
2026-08-15T09:47:24.624958549Z,read,200,23.387
2026-08-15T09:47:24.621941542Z,read,200,26.423
2026-08-15T09:47:24.621291159Z,read,404,28.039
2026-08-15T09:47:24.621843611Z,write,201,29.381
2026-08-15T09:47:24.621208063Z,read,404,31.386
2026-08-15T09:47:24.624879806Z,read,404,40.700
2026-08-15T09:47:24.647708729Z,write,201,32.905
2026-08-15T09:47:24.651238893Z,read,404,37.942
2026-08-15T09:47:24.613315031Z,read,200,76.000
2026-08-15T09:47:24.621406598Z,read,200,67.993
2026-08-15T09:47:24.645886922Z,read,404,43.601
2026-08-15T09:47:24.665603871Z,read,200,23.962
2026-08-15T09:47:24.624494861Z,read,200,65.135
2026-08-15T09:47:24.643516163Z,read,200,46.190
